filter_label,selectivity_pct,strategy,ef_search,recall_mean,recall_p10,recall_min,starved_frac,p50_ms,p95_ms,scan
10%,9.1425,pre_filter,10,0.1063,0.0,0.0,0.875,0.748,1.51,hnsw
10%,9.1425,post_filter 10x,10,0.125,0.0,0.0,0.875,2.949,6.136,hnsw
10%,9.1425,pre_filter,40,0.1229,0.0,0.0,0.875,1.17,2.348,hnsw
10%,9.1425,post_filter 10x,40,0.125,0.0,0.0,0.875,2.927,5.512,hnsw
10%,9.1425,pre_filter,100,0.125,0.0,0.0,0.875,2.207,3.925,hnsw
10%,9.1425,post_filter 10x,100,0.125,0.0,0.0,0.875,2.954,5.848,hnsw
10%,9.1425,pre_filter,400,0.1479,0.0,0.0,0.8542,8.613,17.288,hnsw
10%,9.1425,post_filter 10x,400,0.125,0.0,0.0,0.875,9.929,16.523,hnsw
1%,0.9865,pre_filter,10,0.0042,0.0,0.0,1.0,0.842,1.468,hnsw
1%,0.9865,post_filter 10x,10,0.0563,0.0,0.0,0.9792,3.444,6.907,hnsw
1%,0.9865,pre_filter,40,0.025,0.0,0.0,1.0,1.456,3.469,hnsw
1%,0.9865,post_filter 10x,40,0.0563,0.0,0.0,0.9792,2.99,6.906,hnsw
1%,0.9865,pre_filter,100,0.0563,0.0,0.0,0.9792,2.909,6.705,hnsw
1%,0.9865,post_filter 10x,100,0.0563,0.0,0.0,0.9792,3.718,6.864,hnsw
1%,0.9865,pre_filter,400,0.1833,0.0,0.0,0.875,7.606,14.52,hnsw
1%,0.9865,post_filter 10x,400,0.0604,0.0,0.0,1.0,8.293,16.479,hnsw
